participant_ID,program_ID,program_providence,have_no_demo_data,have_pre_survey_data,have_post_survey_data,has_grade,race,gender,English,Mathematics,Science,STAR_BOY_Math_ScaledScore,STAR_MOY_Math_ScaledScore,STAR_EOY_Math_ScaledScore,standardized_bos,has_standardized_score,standardized_but_no_grade,grade_but_no_standardized,LEP,SP,DaysEnrolled14/15,English15/16,Math15/16,Science15/16,Standardized_Bos 15/16
8189,8,1,0,1,1,0,Hispanic,M,3,2,2,771,866,810,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
8190,8,1,0,1,1,0,Hispanic,F,4,3,2,756,859,848,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
8192,8,1,0,1,0,0,Multiracial,F,3,2,2,763,NA,801,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
8194,8,1,0,1,1,0,Hispanic,M,3,3,4,805,824,845,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
8195,8,1,0,1,0,0,Black,M,3,3,3,923,1028,998,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
8197,8,1,0,1,1,0,Black,M,4,3.5,2,702,703,651,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
8198,8,1,0,1,0,0,Hispanic,F,2.5,1,4,502,548,521,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
8199,8,1,0,1,1,0,White,M,4,3,3,777,806,872,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
8200,8,1,0,1,0,0,Hispanic,M,3,4,4,882,852,908,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
8205,8,1,0,1,1,0,Hispanic,M,3,4,3,865,900,905,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
8206,8,1,0,1,1,0,Hispanic,M,1.5,1,2,665,687,693,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
8207,8,1,0,1,1,0,White,M,1.5,1.5,3,358,442,497,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
8208,8,1,0,1,1,0,Multiracial,M,1.5,2.5,2,640,671,769,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
8209,8,1,0,1,1,0,Hispanic,F,4,3.5,3,731,727,794,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
8211,8,1,0,1,1,0,Hispanic,M,2.5,2,0,561,521,527,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
8212,8,1,0,1,1,1,Black,M,1,2,NA,687,658,671,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
8213,8,1,0,1,1,0,Black,F,2,1,2,699,647,701,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
8214,8,1,0,1,1,0,Hispanic,M,2.5,2,2,722,802,800,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
8215,8,1,0,1,1,0,Hispanic,F,4,3,3,689,671,731,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
